GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
06017030200,703.0,238,06,017,,030200,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170302002010,South Lake Tahoe
06017030301,411.0,159,06,017,,030301,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170303012010,South Lake Tahoe
06017030302,271.0,131,06,017,,030302,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170303022010,South Lake Tahoe
06017030401,398.0,135,06,017,,030401,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170304012010,South Lake Tahoe
06017030402,384.0,176,06,017,,030402,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170304022010,South Lake Tahoe
06017030502,208.0,163,06,017,,030502,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170305022010,Meyers / Hope Valley / Luther Pass
06017030504,242.0,153,06,017,,030504,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170305042010,South Lake Tahoe
06017030505,74.0,68,06,017,,030505,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170305052010,Meyers / Hope Valley / Luther Pass
06017031600,493.0,193,06,017,,031600,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170316002010,South Lake Tahoe
06017032000,86.0,110,06,017,,032000,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060170320002010,Westside El Dorado /Tahoma
06061020104,93.0,108,06,061,,020104,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060610201042010,Lake Forest /Dollar Hill
06061020105,44.0,50,06,061,,020105,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060610201052010,Carnelian Bay
06061020106,201.0,109,06,061,,020106,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060610201062010,Tahoe Vista
06061020107,589.0,308,06,061,,020107,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060610201072010,Kings Beach /Brockway
06061022100,33.0,53,06,061,,022100,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060610221002010,Tahoe Pines/ Sunnyside
06061022200,0.0,132,06,061,,022200,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060610222002010,Tahoe City
06061022300,47.0,63,06,061,,022300,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,060610223002010,Homewood
32005001600,26.0,41,32,005,,001600,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320050016002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32005001700,118.0,80,32,005,,001700,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320050017002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32005001800,207.0,130,32,005,,001800,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320050018002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32031003305,53.0,68,32,031,,003305,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320310033052010,Central Incline Village
32031003306,146.0,83,32,031,,003306,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320310033062010,Central Incline Village
32031003307,63.0,70,32,031,,003307,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320310033072010,Central Incline Village
32031003308,0.0,136,32,031,,003308,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320310033082010,Crystal Bay /surrounding Incline Village
32031003309,522.0,339,32,031,,003309,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320310033092010,Crystal Bay /surrounding Incline Village
32031990000,0.0,136,32,031,,990000,S1501_C01_001E,Educational Attainment: Population 18 to 24: Total,Education,2010,tract,acs/acs5/subject,2010,320319900002010,
06017030200,19.3,14.4,06,017,,030200,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170302002010,South Lake Tahoe
06017030301,10.5,8.5,06,017,,030301,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170303012010,South Lake Tahoe
06017030302,8.1,12.8,06,017,,030302,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170303022010,South Lake Tahoe
06017030401,11.8,11.7,06,017,,030401,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170304012010,South Lake Tahoe
06017030402,17.4,18.3,06,017,,030402,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170304022010,South Lake Tahoe
06017030502,0.0,17.4,06,017,,030502,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170305022010,Meyers / Hope Valley / Luther Pass
06017030504,6.2,10.6,06,017,,030504,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170305042010,South Lake Tahoe
06017030505,0.0,38.2,06,017,,030505,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170305052010,Meyers / Hope Valley / Luther Pass
06017031600,20.1,13.6,06,017,,031600,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170316002010,South Lake Tahoe
06017032000,0.0,35.1,06,017,,032000,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060170320002010,Westside El Dorado /Tahoma
06061020104,0.0,33.4,06,061,,020104,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060610201042010,Lake Forest /Dollar Hill
06061020105,0.0,49.6,06,061,,020105,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060610201052010,Carnelian Bay
06061020106,31.3,29.6,06,061,,020106,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060610201062010,Tahoe Vista
06061020107,28.5,20.4,06,061,,020107,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060610201072010,Kings Beach /Brockway
06061022100,0.0,57.3,06,061,,022100,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060610221002010,Tahoe Pines/ Sunnyside
06061022200,-666666666.0,-222222222.0,06,061,,022200,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060610222002010,Tahoe City
06061022300,80.9,44.4,06,061,,022300,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,060610223002010,Homewood
32005001600,0.0,66.5,32,005,,001600,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320050016002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32005001700,0.0,29.4,32,005,,001700,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320050017002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32005001800,14.0,21.4,32,005,,001800,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320050018002010,Glenbrook/ Kingsbury/ E. Shore Douglas
32031003305,39.6,25.0,32,031,,003305,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320310033052010,Central Incline Village
32031003306,30.8,26.8,32,031,,003306,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320310033062010,Central Incline Village
32031003307,0.0,42.7,32,031,,003307,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320310033072010,Central Incline Village
32031003308,-666666666.0,-222222222.0,32,031,,003308,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320310033082010,Crystal Bay /surrounding Incline Village
32031003309,30.1,25.3,32,031,,003309,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320310033092010,Crystal Bay /surrounding Incline Village
32031990000,-666666666.0,-222222222.0,32,031,,990000,S1501_C01_002E,Educational Attainment: Population 18 to 24 Less than high school graduate,Education,2010,tract,acs/acs5/subject,2010,320319900002010,
