GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
06017030200,101.0,,06,017,,030200,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170302002010,South Lake Tahoe
06017030301,38.0,,06,017,,030301,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170303012010,South Lake Tahoe
06017030302,48.0,,06,017,,030302,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170303022010,South Lake Tahoe
06017030401,33.0,,06,017,,030401,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170304012010,South Lake Tahoe
06017030402,56.0,,06,017,,030402,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170304022010,South Lake Tahoe
06017030502,11.0,,06,017,,030502,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170305022010,Meyers / Hope Valley / Luther Pass
06017030504,12.0,,06,017,,030504,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170305042010,South Lake Tahoe
06017030505,17.0,,06,017,,030505,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170305052010,Meyers / Hope Valley / Luther Pass
06017031600,93.0,,06,017,,031600,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170316002010,South Lake Tahoe
06017032000,5.0,,06,017,,032000,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170320002010,Westside El Dorado /Tahoma
06061020104,4.0,,06,061,,020104,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201042010,Lake Forest /Dollar Hill
06061020105,8.0,,06,061,,020105,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201052010,Carnelian Bay
06061020106,13.0,,06,061,,020106,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201062010,Tahoe Vista
06061020107,78.0,,06,061,,020107,HCT010011,Renter Occupied Households With Own Children under 6 years and 6 to 17 years,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201072010,Kings Beach /Brockway
