GEO_ID,value,MarginOfError,state,county,block group,tract,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
06017030200,147.0,,06,017,,030200,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170302002010,South Lake Tahoe
06017030301,97.0,,06,017,,030301,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170303012010,South Lake Tahoe
06017030302,74.0,,06,017,,030302,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170303022010,South Lake Tahoe
06017030401,153.0,,06,017,,030401,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170304012010,South Lake Tahoe
06017030402,108.0,,06,017,,030402,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170304022010,South Lake Tahoe
06017030502,216.0,,06,017,,030502,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170305022010,Meyers / Hope Valley / Luther Pass
06017030504,234.0,,06,017,,030504,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170305042010,South Lake Tahoe
06017030505,214.0,,06,017,,030505,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170305052010,Meyers / Hope Valley / Luther Pass
06017031600,51.0,,06,017,,031600,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170316002010,South Lake Tahoe
06017032000,68.0,,06,017,,032000,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060170320002010,Westside El Dorado /Tahoma
06061020104,67.0,,06,061,,020104,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201042010,Lake Forest /Dollar Hill
06061020105,83.0,,06,061,,020105,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201052010,Carnelian Bay
06061020106,112.0,,06,061,,020106,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201062010,Tahoe Vista
06061020107,126.0,,06,061,,020107,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610201072010,Kings Beach /Brockway
06061022100,53.0,,06,061,,022100,HCT010003,Owner Occupied Households With Own Children under 18,Tenure by Prescence of Children,2010,tract,dec/sf2,2010,060610221002010,Tahoe Pines/ Sunnyside
