GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060170316011,116.0,,06,017,031601,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160112020,
060170316012,94.0,,06,017,031601,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160122020,
060170316013,114.0,,06,017,031601,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160132020,
060170316021,123.0,,06,017,031602,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160212020,
060170316022,38.0,,06,017,031602,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160222020,
060170320011,39.0,,06,017,032001,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703200112020,
060170320021,9.0,,06,017,032002,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703200212020,
060170320022,2.0,,06,017,032002,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703200222020,
060170302013,43.0,,06,017,030201,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020132020,
060170302011,41.0,,06,017,030201,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020112020,
060170302012,33.0,,06,017,030201,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020122020,
060170302021,48.0,,06,017,030202,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020212020,
060170302022,60.0,,06,017,030202,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020222020,
060170302023,38.0,,06,017,030202,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703020232020,
060170303011,67.0,,06,017,030301,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703030112020,
060170303012,158.0,,06,017,030301,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703030122020,
060170303013,44.0,,06,017,030301,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703030132020,
060170303021,65.0,,06,017,030302,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703030212020,
060170303022,80.0,,06,017,030302,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703030222020,
060170303023,74.0,,06,017,030302,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703030232020,
060170303024,116.0,,06,017,030302,4,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703030242020,
060170304021,49.0,,06,017,030402,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040212020,
060170304022,144.0,,06,017,030402,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040222020,
060170304023,99.0,,06,017,030402,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040232020,
060170304024,80.0,,06,017,030402,4,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040242020,
060170304025,55.0,,06,017,030402,5,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040252020,
060170304031,33.0,,06,017,030403,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040312020,
060170304032,15.0,,06,017,030403,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040322020,
060170304033,15.0,,06,017,030403,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040332020,
060170304041,57.0,,06,017,030404,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040412020,
060170304042,65.0,,06,017,030404,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040422020,
060170304043,51.0,,06,017,030404,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703040432020,
060170305021,9.0,,06,017,030502,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050212020,
060170305022,7.0,,06,017,030502,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050222020,
060170305023,25.0,,06,017,030502,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050232020,
060170305024,13.0,,06,017,030502,4,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050242020,
060170305041,37.0,,06,017,030504,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050412020,
060170305042,14.0,,06,017,030504,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050422020,
060170305043,20.0,,06,017,030504,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050432020,
060170305072,15.0,,06,017,030507,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050722020,
060170305061,25.0,,06,017,030506,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050612020,
060170305071,17.0,,06,017,030507,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050712020,
060170305073,9.0,,06,017,030507,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703050732020,
060610201041,19.0,,06,061,020104,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010412020,
060610201042,37.0,,06,061,020104,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010422020,
060610201043,29.0,,06,061,020104,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010432020,
060610201051,15.0,,06,061,020105,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010512020,
060610201052,31.0,,06,061,020105,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010522020,
060610201061,49.0,,06,061,020106,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010612020,
060610201062,28.0,,06,061,020106,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010622020,
060610201071,113.0,,06,061,020107,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010712020,
060610201072,77.0,,06,061,020107,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010722020,
060610201073,89.0,,06,061,020107,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102010732020,
060610221001,52.0,,06,061,022100,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102210012020,
060610221002,11.0,,06,061,022100,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102210022020,
060610222001,18.0,,06,061,022200,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102220012020,
060610222002,54.0,,06,061,022200,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102220022020,
060610223001,13.0,,06,061,022300,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102230012020,
060610223002,25.0,,06,061,022300,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0606102230022020,
320050016001,58.0,,32,005,001600,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3200500160012020,
320050016002,18.0,,32,005,001600,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3200500160022020,
320050017001,53.0,,32,005,001700,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3200500170012020,
320050017002,116.0,,32,005,001700,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3200500170022020,
320050018001,78.0,,32,005,001800,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3200500180012020,
320050018002,80.0,,32,005,001800,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3200500180022020,
320310033051,55.0,,32,031,003305,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330512020,
320310033061,68.0,,32,031,003306,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330612020,
320310033062,36.0,,32,031,003306,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330622020,
320310033071,47.0,,32,031,003307,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330712020,
320310033072,17.0,,32,031,003307,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330722020,
320310033081,8.0,,32,031,003308,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330812020,
320310033082,21.0,,32,031,003308,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330822020,
320310033083,17.0,,32,031,003308,3,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100330832020,
320310033101,19.0,,32,031,003310,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100331012020,
320310033102,37.0,,32,031,003310,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100331022020,
320310033111,27.0,,32,031,003311,1,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100331112020,
320310033112,19.0,,32,031,003311,2,H12_011N,Renter Occupied 1 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,3203100331122020,
060170316011,74.0,,06,017,031601,1,H12_012N,Renter Occupied 2 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160112020,
060170316012,101.0,,06,017,031601,2,H12_012N,Renter Occupied 2 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160122020,
060170316013,69.0,,06,017,031601,3,H12_012N,Renter Occupied 2 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160132020,
060170316021,104.0,,06,017,031602,1,H12_012N,Renter Occupied 2 person household,Tenure by Household Size,2020,block group,dec/dhc,2020,0601703160212020,
