GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060610201041,154.0,,06,061,020104,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010412020,
060610201042,81.0,,06,061,020104,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010422020,
060610201043,156.0,,06,061,020104,3,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010432020,
060610201051,161.0,,06,061,020105,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010512020,
060610201052,306.0,,06,061,020105,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010522020,
060610201061,203.0,,06,061,020106,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010612020,
060610201062,253.0,,06,061,020106,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010622020,
060610201071,251.0,,06,061,020107,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010712020,
060610201072,187.0,,06,061,020107,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010722020,
060610201073,71.0,,06,061,020107,3,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010732020,
060610221001,206.0,,06,061,022100,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102210012020,
060610221002,70.0,,06,061,022100,2,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102210022020,
060610222001,44.0,,06,061,022200,1,H13_002N,Owner Occupied: Total,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102220012020,
