GEO_ID,value,MarginOfError,state,county,tract,block group,variable_code,variable_name,variable_category,year_sample,sample_level,dataset,census_geom_year,TRPAID,NEIGHBORHOOD
060170316011,9.0,,06,017,031601,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160112020,
060170316012,1.0,,06,017,031601,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160122020,
060170316013,7.0,,06,017,031601,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160132020,
060170316021,16.0,,06,017,031602,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160212020,
060170316022,2.0,,06,017,031602,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703160222020,
060170320011,3.0,,06,017,032001,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200112020,
060170320021,0.0,,06,017,032002,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200212020,
060170320022,0.0,,06,017,032002,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703200222020,
060170302013,6.0,,06,017,030201,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020132020,
060170302011,5.0,,06,017,030201,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020112020,
060170302012,3.0,,06,017,030201,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020122020,
060170302021,10.0,,06,017,030202,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020212020,
060170302022,15.0,,06,017,030202,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020222020,
060170302023,6.0,,06,017,030202,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703020232020,
060170303011,5.0,,06,017,030301,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030112020,
060170303012,17.0,,06,017,030301,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030122020,
060170303013,1.0,,06,017,030301,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030132020,
060170303021,5.0,,06,017,030302,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030212020,
060170303022,2.0,,06,017,030302,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030222020,
060170303023,5.0,,06,017,030302,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030232020,
060170303024,3.0,,06,017,030302,4,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703030242020,
060170304021,5.0,,06,017,030402,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040212020,
060170304022,27.0,,06,017,030402,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040222020,
060170304023,2.0,,06,017,030402,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040232020,
060170304024,1.0,,06,017,030402,4,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040242020,
060170304025,4.0,,06,017,030402,5,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040252020,
060170304031,2.0,,06,017,030403,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040312020,
060170304032,1.0,,06,017,030403,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040322020,
060170304033,4.0,,06,017,030403,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040332020,
060170304041,9.0,,06,017,030404,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040412020,
060170304042,5.0,,06,017,030404,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040422020,
060170304043,7.0,,06,017,030404,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703040432020,
060170305021,2.0,,06,017,030502,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050212020,
060170305022,2.0,,06,017,030502,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050222020,
060170305023,3.0,,06,017,030502,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050232020,
060170305024,3.0,,06,017,030502,4,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050242020,
060170305041,2.0,,06,017,030504,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050412020,
060170305042,0.0,,06,017,030504,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050422020,
060170305043,1.0,,06,017,030504,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050432020,
060170305072,3.0,,06,017,030507,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050722020,
060170305061,2.0,,06,017,030506,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050612020,
060170305071,0.0,,06,017,030507,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050712020,
060170305073,0.0,,06,017,030507,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0601703050732020,
060610201041,0.0,,06,061,020104,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010412020,
060610201042,8.0,,06,061,020104,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010422020,
060610201043,1.0,,06,061,020104,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010432020,
060610201051,0.0,,06,061,020105,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010512020,
060610201052,1.0,,06,061,020105,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010522020,
060610201061,5.0,,06,061,020106,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010612020,
060610201062,2.0,,06,061,020106,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010622020,
060610201071,3.0,,06,061,020107,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010712020,
060610201072,8.0,,06,061,020107,2,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010722020,
060610201073,10.0,,06,061,020107,3,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102010732020,
060610221001,4.0,,06,061,022100,1,H13_020N,Renter Occupied: Householder 75 to 84 Years,Tenure by Age of Householder,2020,block group,dec/dhc,2020,0606102210012020,
