TAZ,YEAR,STATE,GEOGRAPHY,GEOID,TRPAID,TAZ_Current
179,2020,CA,Tract,6061020105,060610201052020,279
186,2020,CA,Tract,6061020106,060610201062020,286
184,2020,CA,Tract,6061020106,060610201062020,284
183,2020,CA,Tract,6061020106,060610201062020,283
192,2020,CA,Tract,6061020107,060610201072020,292
185,2020,CA,Tract,6061020106,060610201062020,285
190,2020,CA,Tract,6061020107,060610201072020,290
181,2020,CA,Tract,6061020106,060610201062020,281
180,2020,CA,Tract,6061020106,060610201062020,280
175,2020,CA,Tract,6061020105,060610201052020,275
182,2020,CA,Tract,6061020106,060610201062020,282
178,2020,CA,Tract,6061020105,060610201052020,278
176,2020,CA,Tract,6061020105,060610201052020,276
189,2020,CA,Tract,6061020107,060610201072020,289
191,2020,CA,Tract,6061020107,060610201072020,291
177,2020,CA,Tract,6061020105,060610201052020,277
174,2020,CA,Tract,6061020105,060610201052020,274
171,2020,CA,Tract,6061020104,060610201042020,271
169,2020,CA,Tract,6061020105,060610201052020,269
173,2020,CA,Tract,6061020104,060610201042020,273
168,2020,CA,Tract,6061020104,060610201042020,268
170,2020,CA,Tract,6061020104,060610201042020,270
167,2020,CA,Tract,6061020104,060610201042020,267
166,2020,CA,Tract,6061020104,060610201042020,266
172,2020,CA,Tract,6061020104,060610201042020,272
163,2020,CA,Tract,6061022200,060610222002020,263
165,2020,CA,Tract,6061020104,060610201042020,265
161,2020,CA,Tract,6061022200,060610222002020,261
162,2020,CA,Tract,6061022200,060610222002020,262
160,2020,CA,Tract,6061022200,060610222002020,260
164,2020,CA,Tract,6061020104,060610201042020,264
159,2020,CA,Tract,6061022200,060610222002020,259
157,2020,CA,Tract,6061022200,060610222002020,257
158,2020,CA,Tract,6061022200,060610222002020,258
155,2020,CA,Tract,6061022200,060610222002020,255
156,2020,CA,Tract,6061022200,060610222002020,256
154,2020,CA,Tract,6061022200,060610222002020,254
153,2020,CA,Tract,6061022200,060610222002020,253
148,2020,CA,Tract,6061022100,060610221002020,248
152,2020,CA,Tract,6061022200,060610222002020,252
151,2020,CA,Tract,6061022200,060610222002020,251
146,2020,CA,Tract,6061022100,060610221002020,246
149,2020,CA,Tract,6061022100,060610221002020,249
145,2020,CA,Tract,6061022100,060610221002020,245
150,2020,CA,Tract,6061022100,060610221002020,250
143,2020,CA,Tract,6061022100,060610221002020,243
142,2020,CA,Tract,6061022300,060610223002020,242
141,2020,CA,Tract,6061022300,060610223002020,241
140,2020,CA,Tract,6061022300,060610223002020,240
139,2020,CA,Tract,6061022300,060610223002020,239
138,2020,CA,Tract,6061022300,060610223002020,238
137,2020,CA,Tract,6061022300,060610223002020,237
136,2020,CA,Tract,6061022300,060610223002020,236
135,2020,CA,Tract,6061022300,060610223002020,235
134,2020,CA,Tract,6061022300,060610223002020,234
133,2020,CA,Tract,6061022300,060610223002020,233
286,2020,NV,Tract,32031003308,320310033082020,386
