TRPAID,emp_other_2022,emp_rec_2022,emp_retail_2022,emp_srvc_2022,emp_gaming_2022
60170302012020,1142.299362419,231.36831600600001,156.85987524,742.7968677810001,0.0
60170302022020,64.704698545,0.0,0.0,3.921496881,0.0
60170303012020,124.83431739,4.901871101,39.05157311,151.95800416,0.0
60170303022020,229.080776152,17.973527376,50.32587665,276.30213452000004,0.0
60170304022020,2119.895855871,147.70971583399998,469.27246009699996,433.97898822,0.0
60170304032020,177.120942478,42.97306999,30.718392230000003,26.14331255,0.0
60170304042020,627.112709714,13.398447678,148.036507215,120.422633385,0.0
60170305022020,172.05567567399999,15.35919612,8.986763687,53.59379071,0.0
60170305042020,184.800540549,0.98037422,1.960748441,11.76449064,0.0
60170305062020,18.953901592,0.0,0.98037422,0.0,0.0
60170305072020,81.044268872,23.692376992,7.189410949,40.19534304,0.0
60170316012020,336.26835758000004,88.560471241,202.44727658,1650.1332086,0.0
60170316022020,157.84024949,443.782730461,85.619348586,233.00227296999998,0.0
60170320012020,104.12698411699999,0.0,0.0,23.02808303,0.0
60170320022020,67.607951689,20.26106722,14.05203049,238.23093551,0.0
60610201042020,471.809158574,1.010297984,5.051489921,21.216257671,0.0
60610201052020,241.725303543,37.524144586,9.075607063,174.18184331999998,0.0
60610201062020,286.545015934,54.17777778,28.622222222,42.25185185,0.0
60610201072020,526.993125589,35.77121662,105.6876855,403.2391691,0.0
60610221002020,95.97502531,18.52212971,37.04425942,260.9936459,0.0
60610222002020,943.44993426,172.424189295,617.292068323,640.865687962,0.0
60610223002020,124.376943009,186.37046630999998,33.92098446,57.70466321,0.0
320050016002020,159.581824784,76.09294461600001,12.472340296999999,474.086016029,0.0
320050017002020,279.138689026,85.638719391,240.643291713,243.886160334,1054.0
320050018002020,690.873110991,22.100252511999997,576.528326282,239.259255441,1054.0
320310033052020,122.377873373,45.325138289,164.30362619800002,202.82999385300002,0.0
320310033062020,279.88272897,12.464413038,216.42753532999998,256.08703137,0.0
320310033072020,667.412661418,355.802335594,210.761892982,198.297480014,428.0
320310033082020,116.71223110999999,0.0,16.99692686,52.123909033,28.0
320310033102020,74.786478166,28.328211443,47.591395199,117.84535955999999,0.0
320310033112020,43.058881372,75.91960664,175.634910886,121.24474492,0.0
325100003002020,0.0,0.0,0.0,0.0,0.0
