Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total Households by Household Size,H12_001N,Tenure by Household Size,Decennial,dec/dhc,H12_001N,2020,2020,block group
Total Owner Occupied Housholds,H12_002N,Tenure by Household Size,Decennial,dec/dhc,H12_002N,2020,2020,block group
