Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Renter Occupied Households With Own Children under 6 years and 6 to 17 years,HCT2_011N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_011N,2020,2020,block group
Renter Occupied Households With Own Children 6 to 17 years,HCT2_012N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_012N,2020,2020,block group
