Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Median Age Male,B01002_002,Age,American Community Survey,acs/acs5,B01002_002,2022,2020,block group
Total Households by Household Size,B25009_001,Tenure by Household Size,American Community Survey,acs/acs5,B25009_001,2022,2020,block group
