Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Owner Occupied Households With Own Children under 6 years and 6 to 17 years,HCT2_005N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_005N,2020,2020,block group
Owner Occupied Households With Own Children 6 to 17 years,HCT2_006N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_006N,2020,2020,block group
