Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Educational Attainment: Population 25 years and over: Graduate or professional degree,S1501_C01_013,Education,American Community Survey,acs/acs5/subject,S1501_C01_013,2010,2010,tract
Educational Attainment: Population 18 to 24: Total,S1501_C01_001,Education,American Community Survey,acs/acs5/subject,S1501_C01_001,2022,2020,tract
