Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Educational Attainment: Population 18 to 24: Some college or associates degree,S1501_C01_004,Education,American Community Survey,acs/acs5/subject,S1501_C01_004,2022,2020,tract
Educational Attainment: Population 18 to 24: Bachelor degree or higher ,S1501_C01_005,Education,American Community Survey,acs/acs5/subject,S1501_C01_005,2022,2020,tract
