Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total Households by Presence of Children,HCT2_001N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_001N,2020,2020,block group
Total Owner Occupied Housholds by Presence of Children,HCT2_002N,Tenure by Prescence of Children,Decennial,dec/dhc,HCT2_002N,2020,2020,block group
